MY,Model,Description,Package,Generic Color,Color
2026,65432AT5,SANTA FE SEL 2.5T AWD,01-STANDARD,PHANTOM BLACK,S3B / NNB
2026,65432AT5,SANTA FE SEL 2.5T AWD,01-STANDARD,ECOTRONIC GRAY,PE2 / YTH
2026,65432AT5,SANTA FE SEL 2.5T AWD,01-STANDARD,ATLANTIS BLUE,TB2 / YTH
2026,65432AT5,SANTA FE SEL 2.5T AWD,01-STANDARD,ROCKWOOD GREEN,WG2 / NNB
2026,65432AT5,SANTA FE SEL 2.5T AWD,01-STANDARD,SHIMMERING SILVER,R2T / YTH
2026,65432AT5,SANTA FE SEL 2.5T AWD,01-STANDARD,ATLANTIS BLUE,TB2 / NNB
2026,65462AT5,SANTA FE XRT 2.5T AWD,01-STANDARD,SHIMMERING SILVER,R2T / NNB
2026,65462AT5,SANTA FE XRT 2.5T AWD,01-STANDARD,HAMPTON GRAY,NT2 / NNB
2026,65462AT5,SANTA FE XRT 2.5T AWD,01-STANDARD,SHIMMERING SILVER,R2T / NNB
2026,294G2FBS,SONATA HYBRID LIMITED,01-Standard,SERENITY WHITE,W6H / NNB
2026,294D2FBS,SONATA HYBRID SEL,01-Standard,TRANSMISSION BLUE,NY9 / REY
2026,29442A4S,SONATA SEL SPORT AWD,01-Standard,ULTIMATE RED,R2P / REY
2026,29442A4S,SONATA SEL SPORT AWD,01-Standard,SERENITY WHITE,W6H / NNB
2026,29442A4S,SONATA SEL SPORT AWD,01-Standard,SERENITY WHITE,W6H / NNB
2026,29442A4S,SONATA SEL SPORT AWD,01-Standard,ULTIMATE RED,R2P / NNB
2026,29442A4S,SONATA SEL SPORT AWD,01-Standard,SERENITY WHITE,W6H / NNB
2026,29442A4S,SONATA SEL SPORT AWD,01-Standard,CARBON BLUE,XB9 / NNB
2026,854E2ABS,TUCSON HYBRID LIMITED AWD,01-Standard,ECOTRONIC GRAY,PE2 / YFX
2026,854H2ABS,TUCSON HYBRID SEL AWD,01-Standard,AMAZON GRAY,A5G / MMH
2026,854H2ABS,TUCSON HYBRID SEL AWD,01-Standard,DEEP SEA,PS8 / NNB
2026,854H2ABS,TUCSON HYBRID SEL AWD,01-Standard,ECOTRONIC GRAY,PE2 / MMH
2026,854H2ABS,TUCSON HYBRID SEL AWD,01-Standard,CREAMY WHITE,TW3 / NNB
2026,85402A4S,TUCSON SE AWD,01-Standard,ATLANTIS BLUE,TB2 / NNB
2026,85402A4S,TUCSON SE AWD,01-Standard,SERENITY WHITE,W6H / MMH
2026,85402A4S,TUCSON SE AWD,01-Standard,ROCKWOOD GREEN,WG2 / NNB
2026,85402A4S,TUCSON SE AWD,01-Standard,SHIMMERING SILVER,R2T / NNB
2026,85402A4S,TUCSON SE AWD,01-Standard,ATLANTIS BLUE,TB2 / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,PHANTOM BLACK,S3B / NNB
2026,85432A4S,TUCSON SEL AWD,01-Standard,SERENITY WHITE,W6H / NNB
